zone_id,cx,cy,cz,gp1,gp2,gp3,gp4,gp5,gp6,gp7,gp8
205,814.632930181,-1418.5853257,158.812959469,16623,23060,16934,16483,,,,
206,1442.11375095,-738.0511601,426.302790075,30432,18568,29991,3132,,,,
207,330.816409626,-89.1649665562,523.770427966,25254,25275,21814,22527,,,,
208,1751.15936138,-881.228495683,185.667217507,16170,16165,16171,16159,,,,
209,417.717804134,-676.21345627,191.978093918,19851,19850,11180,20072,,,,
210,971.247200993,-387.045081811,16.2537709817,17946,6847,7437,7127,,,,
211,621.354378921,-928.443046444,25.3250328616,9328,18398,9669,9670,,,,
212,399.655551555,-585.401266398,363.570517007,20974,11324,11569,11489,,,,
213,148.393595044,-156.091962361,551.198236347,21960,13601,13632,21944,,,,
214,1171.29526106,-14.1064663918,189.135416536,18366,5115,5391,5708,,,,
215,759.340470706,-386.942781093,401.868819944,21291,8676,8535,8490,,,,
216,960.489786521,-1159.43324362,308.184986141,23404,23403,17153,17327,,,,
217,82.7719767565,-551.843629483,513.846862812,27807,25272,25135,25251,,,,
218,119.886505615,-1130.05183771,504.033680743,24022,30554,18953,24127,,,,
219,196.856710451,-684.419477083,526.106496318,21616,29987,13264,13278,,,,
220,529.552315248,-1596.6288412,339.064402567,16971,16975,10490,10222,,,,
221,345.123235465,-1341.27721317,12.2326146199,17445,11775,11708,12394,,,,
222,21.0706191814,-1351.79340645,482.202175572,19933,19707,14750,19929,,,,
223,572.64320769,-1567.53859948,444.282376302,23387,23330,17129,23261,,,,
224,1453.55997,-718.746416895,427.075848773,22277,2909,18599,18376,,,,
225,1270.85919922,-882.334666761,125.673328266,4784,17172,17350,17174,,,,
226,253.957617913,-1460.78571138,525.020834126,24614,20184,19961,24535,,,,
227,550.111292665,-1549.89954502,101.94850103,16635,16782,9993,16752,,,,
228,290.146087088,-1604.56383017,341.503157337,17667,12305,12686,12475,,,,
229,115.894079445,-1086.3498669,504.778838103,19221,13762,13690,19214,,,,
230,279.958108717,-779.888384588,422.145598759,21021,12510,12511,12471,,,,
231,8.4448816503,-633.905841837,545.392537604,14495,14235,14203,14489,,,,
232,175.827521773,-805.913924136,495.388528226,30616,30567,13465,30692,,,,
233,228.447111772,-349.796807179,533.326058777,25357,30366,22010,25345,,,,
234,1758.1647484,-1359.74013858,509.226765907,839,751,861,768,,,,
235,1411.80588487,-1412.23687244,270.162921168,15526,15528,3674,15459,,,,
236,1296.97026751,-1355.51094091,290.999356667,15662,4637,4412,4400,,,,
237,665.334135633,-944.524648482,81.1533859388,18396,9141,18401,18174,,,,
238,1088.4927945,-1057.45558607,162.586265382,17311,5909,6276,17318,,,,
239,1266.94582767,-1372.33402253,281.7400499,15683,4892,4637,4638,,,,
