gp_id,x,y,z,ux,uy,uz,u_mag
5778,1121.35646637,-1319.0078125,401.114325801,1.49044343372,4.3603239798,-0.42369593307,4.62745773418
5779,1121.29229282,-872.705384038,116.214495139,-0.0248236256344,-0.0195449736735,-0.0522576333099,0.0610661823327
5780,1121.13013842,-1398.69642689,471.527776214,1.29579475573,3.82014951717,-1.81807025047,4.42470403735
5781,1121.10546875,-609.203125,392.228881836,-0.0468302980653,-0.100009046125,0.00726401889023,0.11066911084
5782,1121.10546875,-610.59375,391.539794922,-0.0447439444754,-0.0993046096383,0.00307283076644,0.108962692476
5783,1120.79296875,-608.8046875,392.271972656,-0.042941888885,-0.109610334543,-0.0242646796595,0.120196530477
5784,1120.54172792,-1581.75976,0.0,0.0,0.0,0.0,0.0
5785,1120.4943728,-1613.6171875,399.448477961,0.0991384330979,0.0,-1.33476845278,1.33844508721
5786,1120.30571574,-1039.0703125,333.869239741,0.752398068672,2.12368613671,0.44271562789,2.29611471581
5787,1120.2771826,-1192.26404699,346.404919162,0.24244846824,2.50363072444,0.727067141335,2.61831523925
5788,1120.17814619,-1613.6171875,352.996371251,0.0630922077938,0.0,-0.929697812973,0.931836171294
5789,1120.07147159,-758.605500111,235.217987973,-0.0424585705032,-0.0731169275397,-0.0470792331583,0.0967743225076
5790,1119.88671875,-608.9375,391.689575195,-0.0435966944864,-0.110863158048,-0.0254748409977,0.121820684231
5791,1119.79028668,-491.649333886,434.843657142,-0.0317695292912,-0.103134646448,-0.0809682349451,0.134914466828
5792,1119.49609375,-610.59375,391.32409668,-0.0435776579293,-0.109945761467,-0.0107619235268,0.118755638742
5793,1119.1480904,-1300.42718467,374.773692176,1.35071294162,4.21063641129,-0.232457884319,4.42808323168
5794,1119.04935805,-710.53125,356.248462377,-0.0464765472423,-0.105978449592,-0.0353541864387,0.121001734368
5795,1119.01435333,-1348.07534629,285.608112345,0.263691301981,1.35064402795,-0.548276443985,1.4813437994
5796,1118.84019719,-166.168370214,596.8268768,-0.0183417387013,-0.00526606363511,-0.299536521455,0.300143763037
5797,1118.83157045,-978.1875,304.955775002,0.706962060734,1.82730769448,0.875559536834,2.14603198209
5798,1118.54141642,-1008.83065093,129.618381751,0.00558964561476,0.0449181765854,-0.0678029712953,0.0815237980122
5799,1118.51975602,-961.990793232,303.843313762,0.53141148375,1.66306931673,1.55963219403,2.34107887478
5800,1118.41564649,-902.181966834,265.95189331,-0.0274410353765,-0.0388600161349,-0.0445330695318,0.0651636828185
5801,1118.39215155,-604.204918186,395.006088409,-0.0434133903047,-0.111494654653,-0.025628911335,0.122362664118
5802,1117.92523988,-655.52591862,342.058825692,-0.0476966092104,-0.11385259685,-0.0345950062712,0.128195923487
5803,1117.90259759,-1117.41310619,347.026978127,0.468879383591,2.28424697294,0.427157151881,2.37067402697
5804,1117.79481144,-1054.49848967,0.0,0.0,0.0,0.0,0.0
5805,1117.48247484,0.0,474.89927484,-0.0112350607374,0.0,-0.324503012404,0.324697446323
5806,1117.33898335,-385.76512024,513.860272711,-0.0248339822239,-0.0603774199157,-0.185235227247,0.196403281342
